Category,Item Name,Item Code,Size,Finish,PCS / Set,SPU,MRP (?),New Product
Drawer Slides,viii) Accessories 125,BMDS30,300 mm | Load: 20 kgs,IV,Set of 4 Pcs,15,191,
Drawer Slides,viii) Accessories 125,BMDS35,Load: 20 kgs | 350 mm,IV,Set of 4 Pcs,15,213,
Drawer Slides,Bottom Mounting Drawer 400 mm,BMDS40,Load: 20 kgs | 400 mm,IV/BR/BL,Set of 4 Pcs,15,235,
Drawer Slides,Slides Load: 20 kgs,BMDS45,Load: 20 kgs | 450 mm,IV,Set of 4 Pcs,15,260,
Drawer Slides,Slides Load: 20 kgs,BMDS50,Load: 20 kgs | 500 mm,IV,Set of 4 Pcs,15,286,
Drawer Slides,Slides Load: 20 kgs,FPDS54-35-6,350 mm | Load: 25 kgs,IV,Set of 4 Pcs,30,370,
Drawer Slides,Full Panel with 6mm 400 mm,FPDS54-40-6,6 mm | 400 mm | Load: 25 kgs,IV,Set of 4 Pcs,30,385,
Drawer Slides,Bottom Track (Ht54mm) Load: 25 kgs,FPDS54-45-6,450 mm | Load: 25 kgs,IV,Set of 4 Pcs,30,449,
Drawer Slides,Bottom Track (Ht54mm) Load: 25 kgs,FPDS86-35-6,350 mm | Load: 25 kgs,IV,Set of 4 Pcs,25,462,
Drawer Slides,Bottom Track (Ht54mm) Load: 25 kgs,FPDS86-40-6,Load: 25 kgs | 400 mm | 6 mm,IV,Set of 4 Pcs,25,466,
Drawer Slides,Bottom Track,FPDS86-45-6,6 mm | Load: 25 kgs | 450 mm,IV,Set of 4 Pcs,25,563,
Drawer Slides,Bottom Track,FPDS86-50-6,Load: 25 kgs | 500 mm,IV,Set of 4 Pcs,25,612,
Drawer Slides,Bottom Track,FPDS125-35-6,Load: 25 kgs | 350 mm,IV,Set of 4 Pcs,15,570,
Drawer Slides,Bottom Track,FPDS125-40-6,Load: 25 kgs | 400 mm | 6 mm,IV,Set of 4 Pcs,15,576,
Drawer Slides,Bottom Track,FPDS125-45-6,6 mm | Load: 25 kgs | 450 mm,IV,Set of 4 Pcs,15,697,
Drawer Slides,Bottom Track,FPDS125-50-6,Load: 25 kgs | 500 mm,IV,Set of 4 Pcs,15,761,
Drawer Slides,Bottom Track,FPDS150-35-6,Load: 25 kgs | 350 mm,IV,Set of 4 Pcs,15,627,
Drawer Slides,Bottom Track,FPDS150-40-6,Load: 25 kgs | 400 mm | 6 mm,IV,Set of 4 Pcs,15,689,
Drawer Slides,Bottom Track,FPDS150-45-6,6 mm | Load: 25 kgs | 450 mm,IV,Set of 4 Pcs,15,768,
Drawer Slides,Bottom Track,FPDS150-50-6,Load: 25 kgs | 500 mm,IV,Set of 4 Pcs,15,836,
Drawer Slides,Full Panel Quick Fit (Ht54) FPQ54-40-40 IV Set of 5 Pcs 25 521,STDS-35-35,350 mm | Load: 35 kgs,ZW/ZB,Set of 2 Pcs,10,392,
Drawer Slides,Full Panel Quick Fit (Ht54) FPQ54-40-40 IV Set of 5 Pcs 25 521,STDS-40-35,Load: 35 kgs | 400 mm | 450 mm,ZW/ZB,Set of 2 Pcs,10,435,
Drawer Slides,Slides -35 450 mm,STDS-45-35,Load: 35 kgs | 450 mm,ZW/ZB,Set of 2 Pcs,10,488,
Drawer Slides,Slides -35 450 mm,STDS-50-35,Load: 35 kgs | 500 mm | 250 mm,ZW/ZB,Set of 2 Pcs,10,525,
Drawer Slides,Slides -35 450 mm,STDS1-25-35,Load: 35 kgs | 250 mm | 300 mm,ZW/ZB,Set of 2 Pcs,,289,
Drawer Slides,Slides -35 450 mm,STDS1-30-35,Load: 35 kgs | 300 mm | 350 mm,ZW/ZB,Set of 2 Pcs,,346,
Drawer Slides,Slides -35 450 mm,STDS1-35-35,Load: 35 kgs | 350 mm | 400 mm,ZW/ZB,Set of 2 Pcs,,392,
Drawer Slides,Slides -35 450 mm,STDS1-40-35,Load: 35 kgs | 400 mm | 450 mm,ZW/ZB,Set of 2 Pcs,,435,
Drawer Slides,Slides 1 - 35 450 mm,STDS1-45-35,Load: 35 kgs | 450 mm | 500 mm,ZW/ZB,Set of 2 Pcs,,488,
Drawer Slides,Slides 1 - 35 450 mm,STDS1-50-35,Load: 35 kgs | 500 mm | 550 mm,ZW/ZB,Set of 2 Pcs,,525,
Drawer Slides,Slides 1 - 35 450 mm,STDS1-55-35,Load: 35 kgs | 550 mm | 600 mm,ZW/ZB,Set of 2 Pcs,,597,
Drawer Slides,Slides 1 - 35 450 mm,STDS1-60-35,Load: 35 kgs | 600 mm | 250 mm,ZW/ZB,Set of 2 Pcs,,650,
Drawer Slides,Slides 1 - 35 450 mm,STDS25-I-35,Load: 35 kgs | 250 mm | 300 mm,ZW/ZB,Set of 2 Pcs,10,289,
Drawer Slides,Slides 1 - 35 450 mm,STDS30-I-35,Load: 35 kgs | 300 mm | 350 mm,ZW/ZB,Set of 2 Pcs,10,346,
Drawer Slides,Slides 1 - 35 450 mm,STDS35-I-35,Load: 35 kgs | 350 mm | 400 mm,ZW/ZB,Set of 2 Pcs,10,392,
Drawer Slides,Slides 1 - 35 450 mm,STDS40-I-35,Load: 35 kgs | 400 mm | 450 mm,ZW/ZB,Set of 2 Pcs,10,435,
Drawer Slides,Slides - (I) 35 450 mm,STDS45-I-35,Load: 35 kgs | 450 mm | 500 mm,ZW/ZB,Set of 2 Pcs,10,488,
Drawer Slides,Slides - (I) 35 450 mm,STDS50-I-35,Load: 35 kgs | 500 mm | 550 mm,ZW/ZB,Set of 2 Pcs,10,525,
Drawer Slides,Slides - (I) 35 450 mm,STDS55-I-35,Load: 35 kgs | 550 mm | 600 mm,ZW/ZB,Set of 2 Pcs,10,597,
Drawer Slides,Slides - (I) 35 450 mm,STDS60-I-35,Load: 35 kgs | 600 mm | 250 mm,ZW/ZB,Set of 2 Pcs,10,650,
Drawer Slides,Slides - (I) 35 450 mm,STDS25-I-45,Load: 35 kgs | 250 mm | Load: 45 kgs | 300 mm,ZW/ZB,Set of 2 Pcs,10,327,
Drawer Slides,Slides - (I) 35 450 mm,STDS30-I-45,Load: 45 kgs | 300 mm | 350 mm,ZW/ZB,Set of 2 Pcs,10,365,
Drawer Slides,Slides - (I) 35 450 mm,STDS35-I-45,Load: 45 kgs | 350 mm | 400 mm,ZW/ZB,Set of 2 Pcs,10,402,
Drawer Slides,Slides - (I) 35 450 mm,STDS40-I-45,Load: 45 kgs | 400 mm | 450 mm,ZW/ZB,Set of 2 Pcs,10,463,
Drawer Slides,Slides - (I) 45 450 mm,STDS45-I-45,Load: 45 kgs | 450 mm | 500 mm,ZW/ZB,Set of 2 Pcs,10,520,
